
/dbl0	location country form
/dbl1086	medicine medical treatment
/dbl1087	common webpage category
/dbl1088	tv program guest
/dbl1089	medicine icd 9
/dbl1090	base yalebase secret
/dbl1091	travel transport terminus
/dbl1092	geography lake basin
/dbl1093	internet website category
/dbl1094	base schemastaging tv
/dbl1095	fictional universe character
/dbl1096	education school highest
/dbl1097	royalty monarch kingdom
/dbl1098	base collectives collective
/dbl1099	fictional universe character
/dbl1100	base infrastructure power
/dbl1101	base fight crime
/dbl1102	fictional universe job
/dbl1103	broadcast content
/dbl1104	common topic webpage.
/dbl1105	comic books book
/dbl1106	book periodical format
/dbl1107	geography river mouth
/dbl1108	organization involved in
/dbl1109	sports pro athlete
/dbl1110	base endorsements endorsee
/dbl1111	american football coach
/dbl1112	comic books book
/dbl1113	broadcast distributor
/dbl1114	exhibitions exhibition sponsor
/dbl1115	architecture museum address.
/dbl1116	basketball position player
/dbl1117	location statistical region
/dbl1118	royalty monarch royal
/dbl1119	theater play lyricist
/dbl1120	sports team roster.
/dbl1121	martial arts art
/dbl1122	education academic advisors
/dbl1123	location street address.
/dbl1124	film series films
/dbl1125	military post used
/dbl1126	user robert us
/dbl1127	aviation aircraft model
/dbl1128	base contractbridge bridge
/dbl1129	award category long
/dbl1130	broadcast content
/dbl1131	royalty noble title
/dbl1132	cvg computer videogame
/dbl1133	user robert military
/dbl1134	religion religious text
/dbl1135	fictional universe person
/dbl1136	base crime convicted
/dbl1137	ice hockey player
/dbl1138	theater play country
/dbl1139	biology organism classification
/dbl1140	cvg computer videogame
/dbl1141	food dietary restriction
/dbl1142	base bioventurist science
/dbl1143	base endorsements endorsing
/dbl1144	visual art form
/dbl1145	metropolitan transit line
/dbl1146	sports pro athlete
/dbl1147	transportation bridge type
/dbl1148	tennis tournament champion
/dbl1149	media common dedicator
/dbl1150	base onephylogeny type
/dbl1151	food ingredient dishes
/dbl1152	base fight crime
/dbl1153	fictional universe character
/dbl1154	projects project participant
/dbl1155	base crime victim
/dbl1156	aviation aircraft type
/dbl1157	sports drafted athlete
/dbl1158	base activism issue
/dbl1159	biology breed group
/dbl1160	award recurring competition
/dbl1161	award competition instance
/dbl1162	book author series
/dbl1163	sports pro athlete
/dbl1164	visual art artwork
/dbl1165	base schemastaging fish
/dbl1166	media common dedicated
/dbl1167	geography island group
/dbl1168	base collectives collective
/dbl1169	base endorsements endorsing
/dbl1170	government governmental body
/dbl1171	base thoroughbredracing thoroughbred
/dbl1172	royalty royal line
/dbl1173	biology organism sex
/dbl1174	base activism organization
/dbl1175	comic books book
/dbl1176	tv subject programs
/dbl1177	book magazine genre
/dbl1178	fictional universe character
/dbl1179	user szaijan fantasy
/dbl1180	medicine drug ingredient
/dbl1181	broadcast radio station
/dbl1182	religion place of
/dbl1183	aviation airline focus
/dbl1184	sports sport related
/dbl1185	tv producer episodes
/dbl1186	broadcast tv station
/dbl1187	biology animal breed
/dbl1188	fictional universe character
/dbl1189	medicine type of
/dbl1190	base contractbridge bridge
/dbl1191	sports facility teams
/dbl1192	user radiusrs default
/dbl1193	comic books book
/dbl1194	education fraternity sorority
/dbl1195	american football player
/dbl1196	dining restaurant cuisine
/dbl1197	architecture structure address.
/dbl1198	military armed force
/dbl1199	american football team
/dbl1200	sports sport country
/dbl1201	spaceflight space agency
/dbl1202	sports official sport
/dbl1203	education fraternity sorority
/dbl1204	theater play genre
/dbl1205	transportation bridge locale
/dbl1206	geography lake type
/dbl1207	fictional universe character
/dbl1208	tv series episode
/dbl1209	religion religious organization
/dbl1210	american football player
/dbl1211	interests collection category
/dbl1212	medicine drug class
/dbl1213	baseball player lifetime
/dbl1214	base onephylogeny type
/dbl1215	tv program seasons
/dbl1216	base patronage patron
/dbl1217	cvg designer games
/dbl1218	internet website owner
/dbl1219	education school mascot
/dbl1220	base argumentmaps innovator
/dbl1221	protected sites iucn
/dbl1222	food ingredient cuisine
/dbl1223	broadcast content location
/dbl1224	book periodical subjects
/dbl1225	user tsegaran computer
/dbl1226	sports league draft
/dbl1227	visual art genre
/dbl1228	religion religious leader
/dbl1229	royalty noble person
/dbl1230	tv series episode
/dbl1231	ice hockey player
/dbl1232	education academic institution
/dbl1233	interests collection category
/dbl1234	metropolitan transit system
/dbl1235	common topic webpage.
/dbl1236	broadcast distributor distributes
/dbl1237	education school district
/dbl1238	business asset owners.
/dbl1239	common topic subject
/dbl1240	medicine condition prevention
/dbl1241	ice hockey team
/dbl1242	american football coach
/dbl1243	computer software languages
/dbl1244	government election office
/dbl1245	astronomy star system
/dbl1246	user robert us
/dbl1247	sports sport officials
/dbl1248	sports team roster.
/dbl1249	computer programming language
/dbl1250	protected sites site
/dbl1251	business asset owner
/dbl1252	sports equipment sport
/dbl1253	exhibitions exhibition sponsor
/dbl1254	book newspaper headquarters.
/dbl1255	fictional universe character
/dbl1256	royalty noble title
/dbl1257	biology organism classification
/dbl1258	baseball team current
/dbl1259	base thoroughbredracing thoroughbred
/dbl1260	user robert us
/dbl1261	base patronage client
/dbl1262	education school district
/dbl1263	base usnationalparks us
/dbl1264	travel destination local
/dbl1265	common resource annotations.
/dbl1266	comic books book
/dbl1267	fictional universe ethnicity
/dbl1268	cvg computer videogame
/dbl1269	business board member
/dbl1270	common topic subjects
/dbl1271	sports pro athlete
/dbl1272	protected sites governing
/dbl1273	location street address.
/dbl1274	sports position players.
/dbl1275	base folklore mythical
/dbl1276	base ecology food
/dbl1277	base petbreeds dog
/dbl1278	music conducted ensemble
/dbl1279	music conductor groups.
/dbl1280	transportation road end1.
/dbl1281	people appointee position.
/dbl1282	cvg game voice
/dbl1283	cvg game series
/dbl1284	base argumentmaps original
/dbl1285	theater actor roles.
/dbl1286	people appointer appointment
/dbl1287	aviation aircraft model
/dbl1288	cvg computer videogame
/dbl1289	film character portrayed
/dbl1290	ice hockey team
/dbl1291	travel destination how
/dbl1292	architecture structure construction
/dbl1293	aviation aircraft manufacturer
/dbl1294	ice hockey player
/dbl1295	ice hockey player
/dbl1296	american football player
/dbl1297	architecture architectural structure
/dbl1298	book periodical publisher
/dbl1299	book newspaper owner
/dbl1300	cvg computer videogame
/dbl1301	american football player
/dbl1302	american football team
/dbl1303	base wrestling professional
/dbl1304	comic books book
/dbl1305	visual art artwork
/dbl1306	american football player
/dbl1307	theater theatrical lyricist
/dbl1308	visual art artwork
/dbl1309	architecture architect structures
/dbl1310	base folklore mythology
/dbl1311	base petbreeds dog
/dbl1312	base infrastructure power
/dbl1313	base petbreeds dog
/dbl1314	common webpage topic
/dbl1315	language human dialects
/dbl1316	award presented by
/dbl1317	exhibitions exhibition venue
/dbl1318	book periodical publisher.
/dbl1319	transportation bridge type
/dbl1320	base disaster2 tactic
/dbl1321	book newspaper headquarters.
/dbl1322	book written work
/dbl1323	law court judges.
/dbl1324	architecture structure owner.
/dbl1325	people appointed role
/dbl1326	book literary series
/dbl1327	biology organism type
/dbl1328	music album release
/dbl1329	american football team
/dbl1330	sports team arena
/dbl1331	fictional universe character
/dbl1332	aviation airliner accident
/dbl1333	comic books book
/dbl1334	law judge courts.
/dbl1335	computer programming language
/dbl1336	royalty system of
/dbl1337	cvg game voice
/dbl1338	medicine symptom side
/dbl1339	computer programming language
/dbl1340	cvg game character
/dbl1341	american football coach
/dbl1342	book newspaper owner
/dbl1343	medicine drug class
/dbl1344	sports multi event
